2003.05.05,00:00,1.12161,1.13009,1.12014,1.12924,1279436
2003.05.06,00:00,1.12921,1.14506,1.12723,1.14234,1284882
2003.05.07,00:00,1.14218,1.14323,1.13265,1.13494,1275988
2003.05.08,00:00,1.13507,1.15077,1.13006,1.14820,1269876
2003.05.09,00:00,1.14831,1.15366,1.14346,1.14877,1192012
2003.05.11,00:00,1.14888,1.15645,1.14888,1.15605,84778
2003.05.12,00:00,1.15632,1.16229,1.15225,1.15559,1271592
2003.05.13,00:00,1.15544,1.15591,1.14620,1.15277,1271695
2003.05.14,00:00,1.15265,1.15352,1.14661,1.14770,1281154
2003.05.15,00:00,1.14767,1.14870,1.13702,1.13838,1280548
2003.05.16,00:00,1.13825,1.15766,1.13675,1.15705,1188751
2003.05.18,00:00,1.16564,1.16841,1.16281,1.16576,88143
2003.05.19,00:00,1.16546,1.17353,1.16205,1.16410,1277314
2003.05.20,00:00,1.16404,1.17364,1.15998,1.17321,1281462
2003.05.21,00:00,1.17312,1.17437,1.16226,1.16404,1272786
2003.05.22,00:00,1.16424,1.17266,1.16181,1.16908,1279546
2003.05.23,00:00,1.16892,1.18363,1.16635,1.18236,1193980
2003.05.25,00:00,1.18200,1.18332,1.18144,1.18177,88736
2003.05.26,00:00,1.18158,1.18744,1.17955,1.18567,1280124
2003.05.27,00:00,1.18548,1.19286,1.18070,1.18102,1271577
2003.05.28,00:00,1.18107,1.18439,1.17037,1.17516,1280824
2003.05.29,00:00,1.17522,1.19144,1.16909,1.18922,1285957
2003.05.30,00:00,1.18908,1.18963,1.17419,1.17661,1186765
2003.06.01,00:00,1.17079,1.17464,1.17058,1.17203,89200
2003.06.02,00:00,1.17200,1.17671,1.16504,1.17441,1157343
2003.06.03,00:00,1.17411,1.17773,1.16858,1.17337,1277869
2003.06.04,00:00,1.17324,1.17463,1.16321,1.16444,1278066
2003.06.05,00:00,1.16448,1.18850,1.16273,1.18397,1282131
2003.06.06,00:00,1.18391,1.18772,1.16829,1.16971,1199084
2003.06.08,00:00,1.16870,1.17102,1.16839,1.16989,86937
2003.06.09,00:00,1.16983,1.17846,1.16548,1.17094,1276254
2003.06.10,00:00,1.17087,1.17400,1.16620,1.16773,1274058
2003.06.11,00:00,1.16755,1.17805,1.16571,1.17571,1264195
2003.06.12,00:00,1.17550,1.18038,1.17020,1.17693,1273101
2003.06.13,00:00,1.17674,1.18758,1.17338,1.18600,1197012
2003.06.15,00:00,1.18624,1.18759,1.18606,1.18759,86241
2003.06.16,00:00,1.18763,1.19263,1.18125,1.18178,1272936
2003.06.17,00:00,1.18178,1.18652,1.17670,1.17831,1271074
2003.06.18,00:00,1.17810,1.18016,1.16604,1.16817,1267447
2003.06.19,00:00,1.16816,1.17372,1.15826,1.17041,1270411
2003.06.20,00:00,1.17026,1.17333,1.15501,1.16010,1189722
2003.06.22,00:00,1.15955,1.15997,1.15707,1.15850,85243
2003.06.23,00:00,1.15839,1.16028,1.15069,1.15490,1270290
2003.06.24,00:00,1.15488,1.15801,1.14750,1.14959,1282216
2003.06.25,00:00,1.14968,1.16205,1.14937,1.15365,1279663
2003.06.26,00:00,1.15352,1.15425,1.14105,1.14230,1274784
2003.06.27,00:00,1.14231,1.14665,1.13984,1.14224,1189343
2003.06.29,00:00,1.14238,1.14360,1.14190,1.14234,84132
2003.06.30,00:00,1.14228,1.15320,1.13964,1.15196,1283516
2003.07.01,00:00,1.15201,1.16069,1.15045,1.15613,1277195
2003.07.02,00:00,1.15593,1.15668,1.15035,1.15300,1273667
2003.07.03,00:00,1.15282,1.15387,1.14316,1.14915,1277795
2003.07.04,00:00,1.14888,1.14933,1.14462,1.14862,1200309
2003.07.06,00:00,1.14800,1.14854,1.14653,1.14663,85308
2003.07.07,00:00,1.14641,1.14693,1.13080,1.13213,1276922
2003.07.08,00:00,1.13219,1.13498,1.12577,1.13135,1260129
2003.07.09,00:00,1.13165,1.13650,1.13029,1.13362,1281909
2003.07.10,00:00,1.13356,1.13914,1.13085,1.13593,1268524
2003.07.11,00:00,1.13552,1.13601,1.12749,1.12960,1186337
2003.07.13,00:00,1.12864,1.12970,1.12747,1.12788,82650
2003.07.14,00:00,1.12776,1.13070,1.12410,1.12702,1274882
2003.07.15,00:00,1.12701,1.13358,1.11550,1.11762,1270462
2003.07.16,00:00,1.11763,1.12305,1.11113,1.12269,1275826
2003.07.17,00:00,1.12243,1.12477,1.11556,1.12323,1269910
2003.07.18,00:00,1.12336,1.13022,1.11701,1.12716,1197484
2003.07.20,00:00,1.12615,1.12673,1.12434,1.12452,84582
2003.07.21,00:00,1.12439,1.13560,1.12401,1.13349,1277352
2003.07.22,00:00,1.13309,1.13713,1.13044,1.13250,1257135
2003.07.23,00:00,1.13224,1.14910,1.13119,1.14830,1274946
2003.07.24,00:00,1.14842,1.15091,1.14220,1.14695,1274827
2003.07.25,00:00,1.14668,1.15477,1.14425,1.15049,1193952
2003.07.27,00:00,1.15014,1.15124,1.14716,1.14959,87138
2003.07.28,00:00,1.14939,1.15172,1.14511,1.14842,1277178
2003.07.29,00:00,1.14852,1.15365,1.14268,1.14413,1276894
2003.07.30,00:00,1.14410,1.14509,1.13338,1.13476,1270912
2003.07.31,00:00,1.13501,1.13611,1.12222,1.12363,1268196
2003.08.01,00:00,1.12350,1.12706,1.11338,1.12531,1135602
2003.08.03,00:00,1.12773,1.12851,1.12630,1.12678,85267
2003.08.04,00:00,1.12672,1.13734,1.12564,1.13523,1272713
2003.08.05,00:00,1.13518,1.13969,1.13054,1.13908,1286754
2003.08.06,00:00,1.13868,1.14250,1.13238,1.13364,1270621
2003.08.07,00:00,1.13375,1.14138,1.13173,1.13640,1275766
2003.08.08,00:00,1.13632,1.13774,1.12861,1.13053,1182154
2003.08.11,00:00,1.12882,1.13788,1.12615,1.13544,1335802
2003.08.12,00:00,1.13535,1.13709,1.12659,1.12727,1344121
2003.08.13,00:00,1.12724,1.13302,1.12169,1.13093,1356096
2003.08.14,00:00,1.13097,1.13365,1.12234,1.12650,1339547
2003.08.15,00:00,1.12629,1.12868,1.12396,1.12633,1211121
2003.08.17,00:00,1.12420,1.12675,1.12337,1.12614,68246
2003.08.18,00:00,1.12601,1.12672,1.11221,1.11382,1357341
2003.08.19,00:00,1.11377,1.11470,1.10534,1.11293,1342092
2003.08.20,00:00,1.11277,1.11397,1.10783,1.11084,1350819
2003.08.21,00:00,1.11067,1.11088,1.08826,1.09295,1348500
2003.08.22,00:00,1.09287,1.09445,1.08350,1.08731,1246487
2003.08.24,00:00,1.08496,1.08695,1.08469,1.08551,92338
2003.08.25,00:00,1.08533,1.09169,1.07973,1.08265,1346286
2003.08.26,00:00,1.08269,1.09080,1.07911,1.08739,1343642
2003.08.27,00:00,1.08714,1.09288,1.08303,1.08512,1342827
2003.08.28,00:00,1.08491,1.09114,1.08082,1.08791,1349620
2003.08.29,00:00,1.08784,1.09964,1.08678,1.09817,1258196
2003.08.31,00:00,1.09873,1.09938,1.09794,1.09887,88641
2003.09.01,00:00,1.09882,1.10125,1.09487,1.09576,1207426
2003.09.02,00:00,1.09581,1.09610,1.07975,1.08022,1329400
2003.09.03,00:00,1.08036,1.08715,1.07606,1.08167,1366473
2003.09.04,00:00,1.08164,1.09485,1.08075,1.09305,1352096
2003.09.05,00:00,1.09326,1.11116,1.09150,1.11019,1234983
2003.09.07,00:00,1.10973,1.11043,1.10762,1.10892,98652
2003.09.08,00:00,1.10899,1.11282,1.10448,1.10653,1344812
2003.09.09,00:00,1.10657,1.12390,1.10514,1.12168,1366715
2003.09.10,00:00,1.12169,1.12347,1.11608,1.11811,1368301
2003.09.11,00:00,1.11792,1.12695,1.11537,1.11831,1368089
2003.09.12,00:00,1.11816,1.13208,1.11329,1.12883,1253056
2003.09.14,00:00,1.12675,1.12779,1.12502,1.12748,90912
2003.09.15,00:00,1.12744,1.13082,1.12401,1.12766,1353956
2003.09.16,00:00,1.12765,1.13165,1.11523,1.11632,1349370
2003.09.17,00:00,1.11625,1.12989,1.11366,1.12750,1343992
2003.09.18,00:00,1.12750,1.13414,1.12246,1.12482,1341721
2003.09.19,00:00,1.12476,1.13823,1.12374,1.13762,1263765
2003.09.21,00:00,1.14333,1.14954,1.14246,1.14568,96084
2003.09.22,00:00,1.14542,1.15031,1.14124,1.14694,1355935
2003.09.23,00:00,1.14690,1.15233,1.14260,1.14380,1353017
2003.09.24,00:00,1.14377,1.15034,1.14262,1.14814,1355538
2003.09.25,00:00,1.14819,1.15321,1.14568,1.14667,1344947
2003.09.26,00:00,1.14673,1.14965,1.14385,1.14577,1248285
2003.09.28,00:00,1.14488,1.14656,1.14488,1.14593,91273
2003.09.29,00:00,1.14592,1.16366,1.13927,1.15753,1356295
2003.09.30,00:00,1.15756,1.17323,1.15717,1.16738,1350581
2003.10.01,00:00,1.16710,1.17327,1.16523,1.17151,1356791
2003.10.02,00:00,1.17147,1.17668,1.16596,1.16760,1353369
2003.10.03,00:00,1.16764,1.17193,1.15487,1.15780,1261965
2003.10.05,00:00,1.15585,1.15943,1.15557,1.15893,86676
2003.10.06,00:00,1.15889,1.17212,1.15309,1.17121,1349684
2003.10.07,00:00,1.17128,1.18098,1.16960,1.17741,1341444
2003.10.08,00:00,1.17761,1.18399,1.17675,1.18210,1346476
2003.10.09,00:00,1.18217,1.18588,1.16830,1.17344,1346101
2003.10.10,00:00,1.17325,1.18461,1.17012,1.17928,1240678
2003.10.12,00:00,1.18039,1.18138,1.17982,1.18103,80058
2003.10.13,00:00,1.18094,1.18113,1.16512,1.16904,1349888
2003.10.14,00:00,1.16900,1.17638,1.15803,1.17241,1340766
2003.10.15,00:00,1.17202,1.17431,1.15889,1.16171,1355997
2003.10.16,00:00,1.16172,1.16942,1.15721,1.15786,1336153
2003.10.17,00:00,1.15775,1.16823,1.15515,1.16782,1248172
2003.10.19,00:00,1.17028,1.17270,1.16852,1.16979,94852
2003.10.20,00:00,1.16960,1.16974,1.16000,1.16264,1338686
2003.10.21,00:00,1.16268,1.16991,1.16152,1.16490,1340288
2003.10.22,00:00,1.16519,1.18276,1.16463,1.18177,1344779
2003.10.23,00:00,1.18166,1.18434,1.17546,1.18201,1342813
2003.10.24,00:00,1.18182,1.18546,1.17589,1.17767,1247445
2003.10.26,00:00,1.17726,1.17829,1.17628,1.17770,61105
2003.10.27,00:00,1.17752,1.17805,1.17170,1.17347,1350515
2003.10.28,00:00,1.17338,1.17383,1.16535,1.16629,1358204
2003.10.29,00:00,1.16630,1.17170,1.16554,1.16597,1330621
2003.10.30,00:00,1.16629,1.17536,1.16096,1.16225,1346985
2003.10.31,00:00,1.16228,1.16551,1.15615,1.15851,1290580
2003.11.02,00:00,1.15762,1.15866,1.15713,1.15790,59375
2003.11.03,00:00,1.15796,1.16177,1.14264,1.14547,1351768
2003.11.04,00:00,1.14544,1.15118,1.14244,1.14722,1351597
2003.11.05,00:00,1.14710,1.14956,1.14118,1.14239,1345086
2003.11.06,00:00,1.14251,1.14614,1.13873,1.14081,1348469
2003.11.07,00:00,1.14075,1.15414,1.13769,1.15269,1306308
